1;1731715200;1763337600;85000
2;1731715200;1763337600;250000
3;1731715200;1763337600;150000
4;1731715200;1763337600;45000
5;1731715200;1763337600;35000
6;1766530800;1831244400;20000
6;1765494000;1878847200;23000
7;1731715200;1763337600;280000
8;1731715200;1763337600;180000
9;1731715200;1763337600;120000
10;1731715200;1763337600;320000
11;1731715200;1763337600;195000
12;1731715200;1763337600;75000
13;1731715200;1763337600;40000
14;1731715200;1763337600;55000
15;1731715200;1763337600;95000
17;1731715200;1763337600;65000
18;1731715200;1763337600;110000
19;1731715200;1763337600;80000
20;1731715200;1763337600;70000
21;1731715200;1763337600;135000
22;1731715200;1763337600;145000
23;1731715200;1763337600;48000
24;1731715200;1763337600;32000
25;1769122800;1919458800;12000
